brand,sku,product_url,image_url,local_path,contains_person,person_score,kept,status
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_41_23_PM_80x80.png?v=1788723805,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt\img_003.png,True,0.8416,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_56_17_PM_80x80.png?v=1788724689,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt\img_004.png,True,0.6026,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_48_51_PM.png?v=1788724317,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt\img_005.png,True,0.8941,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_48_48_PM.png?v=1788724320,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt\img_006.png,True,0.8937,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_5_2026_01_19_13_PM_grande.png?v=1788643195,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija\img_000.png,True,0.8949,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_01_08_51_PM_80x80.png?v=1788726278,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija\img_003.png,True,0.8650,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/micro-shirt,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_5_2026_02_29_31_PM_grande.png?v=1788643833,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_micro-shirt\img_000.png,True,0.9042,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/linen-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_5_2026_02_00_41_PM_05af9108-4a7c-4dce-a7c7-7b86ec2e6a96_80x80.png?v=1788642905,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_linen-shirt\img_003.png,True,0.8399,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/vero-pants,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_06_01_11_PM_grande.png?v=1788641129,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vero-pants\img_000.png,True,0.9067,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/vardo,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_24_37_PM_80x80.png?v=1788396169,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vardo\img_004.png,True,0.8905,False,person_detected
